"Site Crawled","http://localhost:3000/"
"Date","2026-02-21"
"Time","12:33:39"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"No GSC Data","0","0,00%","10","Internal URLs with associated Google Search Console data"
"Non-Indexable with GSC Data","0","0,00%","10","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0,00%","10","Internal URLs with associated Google Search Console data"
""
"Link Metrics"
"All","10","100,00%","10","Internal HTML/PDF pages"
""
""
"Depth (Clicks from Start URL)"
"0","1","10,00%","10","Internal HTML pages with 2xx response"
"1","9","90,00%","10","Internal HTML pages with 2xx response"
"2","0","0,00%","10","Internal HTML pages with 2xx response"
"3","0","0,00%","10","Internal HTML pages with 2xx response"
"4","0","0,00%","10","Internal HTML pages with 2xx response"
"5","0","0,00%","10","Internal HTML pages with 2xx response"
"6","0","0,00%","10","Internal HTML pages with 2xx response"
"7","0","0,00%","10","Internal HTML pages with 2xx response"
"8","0","0,00%","10","Internal HTML pages with 2xx response"
"9","0","0,00%","10","Internal HTML pages with 2xx response"
"10+","0","0,00%","10","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"http://localhost:3000/","8","80,00%","10","Internal HTML pages with 2xx response"
"http://localhost:3000/hakkimizda","8","80,00%","10","Internal HTML pages with 2xx response"
"http://localhost:3000/iletisim","8","80,00%","10","Internal HTML pages with 2xx response"
"http://localhost:3000/bolgeler","8","80,00%","10","Internal HTML pages with 2xx response"
"http://localhost:3000/istanbul-karaburun-evden-eve-nakliyat","2","20,00%","10","Internal HTML pages with 2xx response"
"http://localhost:3000/istanbul-kinik-evden-eve-nakliyat","2","20,00%","10","Internal HTML pages with 2xx response"
"http://localhost:3000/istanbul-bornova-evden-eve-nakliyat","2","20,00%","10","Internal HTML pages with 2xx response"
"http://localhost:3000/istanbul-buca-evden-eve-nakliyat","2","20,00%","10","Internal HTML pages with 2xx response"
"http://localhost:3000/istanbul-karabaglar-evden-eve-nakliyat","2","20,00%","10","Internal HTML pages with 2xx response"
"http://localhost:3000/istanbul-beydag-evden-eve-nakliyat","2","20,00%","10","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","47","100,00%"
